# BPmag  e_BPmag  RPmag  e_RPmag  Gmag  e_Gmag  GABS  e_GABS
1.551110000000000078e+01 3.885830857879101798e-03 1.277130000000000010e+01 1.560890754611193301e-03 1.397610000000000063e+01 7.647402711745025306e-04 1.057496045713181587e+01 2.340293548446129024e-03
8.502499999999999503e+00 2.375175008750437210e-03 7.542300000000000004e+00 1.517626009896284748e-03 8.107599999999999696e+00 4.716261532847983748e-04 4.763723905103661949e+00 6.826470112809318591e-03
1.894480000000000075e+01 3.644645854313528083e-02 1.516440000000000055e+01 3.840744278184583544e-03 1.656629999999999825e+01 1.257065450208981992e-03 1.338106729472142575e+01 9.106347425822731989e-03
1.535640000000000072e+01 2.569373121612987271e-03 1.253069999999999951e+01 9.205321034023755851e-04 1.375479999999999947e+01 6.049331126971657169e-04 1.042927931505940720e+01 2.191152611099837430e-03
1.169960000000000022e+01 1.704083874815582071e-03 9.899100000000000676e+00 1.042317070829253123e-03 1.081990000000000052e+01 4.667159572547434419e-04 7.804295176107782339e+00 1.760868753704724135e-03
1.531900000000000084e+01 1.663332056683262906e-03 1.546330000000000027e+01 3.338170637970791325e-03 1.535599999999999987e+01 1.008752044001783900e-03 1.185962941537410309e+01 5.305447790966276445e-03
1.605679999999999907e+01 4.018877702102457462e-03 1.305499999999999972e+01 6.955546871496568655e-04 1.431670000000000087e+01 6.549045154596890277e-04 1.119702860793086074e+01 2.624271663458562030e-03
6.706500000000000128e+00 9.088276162255368162e-04 6.146700000000000053e+00 7.253983631200934925e-04 6.502399999999999736e+00 3.191194192164123760e-04 3.155686173556970786e+00 2.488954633514917861e-03
9.480900000000000105e+00 8.277539320103379124e-04 8.431499999999999773e+00 5.447165892375151110e-04 9.039099999999999469e+00 2.941332639814483248e-04 5.746668299351256337e+00 1.825011354283774924e-03
1.303260000000000041e+01 1.422223968771695480e-03 1.081830000000000069e+01 8.565928473937089007e-04 1.188620000000000054e+01 4.093779810494801996e-04 8.930536016934098598e+00 1.868165587275257260e-03
1.557109999999999950e+01 3.048718164715131899e-03 1.258189999999999920e+01 7.223963219492071349e-04 1.384120000000000061e+01 5.982302250236924386e-04 1.054074176477503499e+01 3.026099873686057939e-03
1.631650000000000134e+01 5.859995682210707851e-03 1.321749999999999936e+01 1.231863668338287632e-03 1.450179999999999936e+01 6.351845459917043312e-04 1.085798677235417919e+01 4.311154051309883627e-03
1.644399999999999906e+01 5.482704640711003052e-03 1.344369999999999976e+01 1.102699518596006586e-03 1.470279999999999987e+01 5.132794402685197238e-04 1.140947792590496057e+01 3.122805654216941670e-03
8.632600000000000051e+00 1.463774368377059260e-03 7.754100000000000215e+00 9.059913217623497082e-04 8.279199999999999449e+00 3.372208953091465362e-04 4.930355438596398798e+00 2.719216341752202920e-03
1.798760000000000048e+01 1.274641934726461479e-02 1.454180000000000028e+01 1.920066493359506030e-03 1.587959999999999994e+01 9.078397270811731749e-04 1.221099373315550984e+01 2.055036828810231225e-02
1.325339999999999918e+01 8.223932374907211382e-04 1.099779999999999980e+01 4.039767378694239367e-04 1.207820000000000071e+01 3.742640468803860409e-04 8.980522531488626115e+00 2.194222504310071147e-03
6.913999999999999702e+00 4.426948058567134860e-04 6.331599999999999895e+00 4.817396474383149997e-04 6.701399999999999579e+00 1.613259832691936100e-04 3.300676368339660272e+00 2.484875528688972480e-03
7.707099999999999618e+00 1.420846692403323827e-03 6.865300000000000402e+00 1.051258714175058078e-03 7.371599999999999930e+00 4.782195051048722585e-04 4.040850725512725283e+00 4.258139015264419264e-03
1.635310000000000130e+01 3.977798131525920634e-03 1.332479999999999976e+01 1.759109541323050207e-03 1.458910000000000018e+01 9.464590815579342065e-04 1.128347324650690808e+01 3.910687782206100603e-03
1.420079999999999920e+01 3.238598061148396327e-03 1.150089999999999968e+01 1.168366907713498659e-03 1.270340000000000025e+01 5.524354192849184088e-04 9.379686282172659872e+00 5.665401136437990710e-03
2.005059999999999931e+01 5.781363152289668850e-02 1.594480000000000075e+01 3.598621192535878931e-03 1.738080000000000069e+01 9.467066599236175547e-04 1.395487443605360589e+01 1.081316154739465039e-02
1.556250000000000000e+01 3.155120306869696294e-03 1.277439999999999998e+01 1.320401809602568489e-03 1.398830000000000062e+01 5.989000987373750218e-04 1.045765295976450027e+01 2.537539007303921471e-03
1.435350000000000037e+01 4.371813972216629686e-03 1.184159999999999968e+01 2.208629142171321738e-03 1.299349999999999916e+01 8.016213462489755375e-04 9.585695021000960381e+00 2.131057203168438240e-03
1.211369999999999969e+01 1.087120643216885367e-03 1.026609999999999978e+01 9.252467063214765784e-04 1.120330000000000048e+01 4.921446508381154125e-04 7.898369725555543397e+00 2.100805454085865123e-03
1.102820000000000000e+01 9.811671998409513158e-04 9.557800000000000296e+00 4.504304175568877027e-04 1.034810000000000052e+01 3.340378728444629128e-04 6.948727529868175878e+00 2.316316475818238230e-03
1.292559999999999931e+01 3.725943719972546215e-03 1.087679999999999936e+01 2.576140084468276758e-03 1.195720000000000027e+01 1.057278074241420774e-03 8.301259518698902440e+00 3.908660881610178522e-03
