# BPmag  e_BPmag  RPmag  e_RPmag  Gmag  e_Gmag  GABS  e_GABS
1.695139999999999958e+01 4.817802626908057953e-03 1.422439999999999927e+01 1.781507916974320793e-03 1.542440000000000033e+01 8.254443717974059526e-04 1.075136480780995818e+01 7.069913634275544999e-03
1.033079999999999998e+01 1.193881814783048475e-03 9.414600000000000080e+00 8.311948799608034942e-04 9.958099999999999952e+00 3.582957406716848572e-04 5.320268629841939045e+00 3.077347999330670540e-03
1.575820000000000043e+01 4.818657908751996892e-03 1.313829999999999920e+01 2.404579983611277068e-03 1.455209999999999937e+01 1.740191050134632647e-03 9.942389334895933573e+00 1.514405157090068822e-02
1.588189999999999991e+01 3.908069973364048343e-03 1.325539999999999985e+01 1.516672021456409508e-03 1.488230000000000075e+01 1.752918193706711272e-03 1.031658957829923651e+01 4.863283042457931110e-02
1.167950000000000088e+01 1.053564150833543461e-03 1.045609999999999928e+01 8.848880992355212917e-04 1.114320000000000022e+01 3.327561318716344588e-04 6.383854635144837530e+00 3.421535842427039873e-03
1.069299999999999962e+01 2.004985965430639439e-03 9.727999999999999758e+00 1.183084165104824823e-03 1.029540000000000077e+01 5.269482583732522200e-04 5.537803237367512565e+00 3.138335526487075200e-03
1.347369999999999912e+01 1.076898661985102113e-03 1.168890000000000029e+01 6.552167379772731726e-04 1.260590000000000011e+01 2.688579961073113856e-04 7.929686997148397865e+00 4.170912552113932407e-03
1.494289999999999985e+01 3.636345368075557475e-03 1.245330000000000048e+01 1.057772495226218549e-03 1.363640000000000008e+01 1.722822551213087482e-03 8.769679069385215797e+00 5.225769922344504492e-02
1.682669999999999888e+01 5.592562068610281226e-03 1.401469999999999949e+01 2.000073685180067846e-03 1.531259999999999977e+01 1.721102022699892058e-03 1.066001546967305735e+01 2.681057871735708850e-02
1.794549999999999912e+01 2.470398179749715151e-02 1.498199999999999932e+01 5.108643485625558381e-03 1.629830000000000112e+01 9.920779232645898435e-04 1.151786083550627104e+01 1.208163895561689162e-02
1.609420000000000073e+01 7.165181812182405165e-03 1.354020000000000046e+01 4.020812502314557481e-03 1.471390000000000065e+01 1.089094410785218427e-03 9.946570913754849030e+00 5.476134319569661221e-03
1.762750000000000128e+01 1.129449703526474481e-02 1.476670000000000016e+01 1.800952112395707086e-03 1.601960000000000051e+01 8.266384456084783757e-04 1.133664212487972733e+01 1.253221159697626326e-02
1.603300000000000125e+01 4.250636182124260462e-03 1.360040000000000049e+01 1.310046091845845639e-03 1.472749999999999915e+01 6.105116367991632017e-04 1.000992796475557789e+01 6.655541201476176082e-03
2.191219999999999857e+01 2.478858447488584416e-01 1.848590000000000089e+01 2.968124658283214853e-02 2.003049999999999997e+01 5.445035105315946915e-03 1.516582031075522607e+01 1.250715884237422471e-01
1.384529999999999994e+01 1.463044562126908322e-03 1.191849999999999987e+01 9.734697354146306953e-04 1.288840000000000074e+01 4.388707891056371204e-04 8.311281389671655973e+00 3.406237068819227120e-03
1.543709999999999916e+01 4.826369132290184508e-03 1.305330000000000013e+01 2.054419194308312099e-03 1.417120000000000068e+01 8.576822813808356429e-04 9.450957026645751213e+00 4.925977238193590506e-03
