# BPmag  e_BPmag  RPmag  e_RPmag  Gmag  e_Gmag  GABS  e_GABS
1.929542350769042969e+01 3.339472001526239131e-02 1.626793289184570312e+01 5.675715656882501965e-03 1.752201271057128906e+01 1.231206729403280060e-03 1.140433742743827139e+01 1.231206729403280060e-03
1.987323570251464844e+01 6.499763562439425657e-02 1.677263450622558594e+01 7.213631247128438236e-03 1.805650138854980469e+01 1.385572837084648621e-03 1.157599773572347424e+01 1.385572837084648621e-03
1.795250129699707031e+01 1.097366871252311062e-02 1.536160659790039062e+01 2.500501176575268755e-03 1.653434753417968750e+01 9.746560939907700965e-04 9.872817643098565910e+00 9.746560939907700965e-04
2.059020996093750000e+01 1.186049311558970976e-01 1.743768119812011719e+01 9.849484089818696247e-03 1.874781990051269531e+01 1.994956319308941253e-03 1.183875380335385330e+01 1.994956319308941253e-03
8.748813629150390625e+00 7.451252546649798783e-04 8.374278068542480469e+00 7.700942394161180374e-04 8.620994567871093750e+00 3.819862638589691908e-04 2.097081614746642231e+00 3.819862638589691908e-04
2.035261154174804688e+01 8.679286310862562026e-02 1.726421165466308594e+01 8.714542250217817421e-03 1.852444839477539062e+01 2.181364975746110085e-03 1.144025880670971063e+01 2.181364975746110085e-03
1.698486518859863281e+01 3.803289391848336393e-03 1.478775596618652344e+01 1.663323658145008082e-03 1.584911632537841797e+01 5.331733969772991903e-04 9.033731834453309517e+00 5.331733969772991903e-04
1.788589668273925781e+01 1.440187809003580163e-02 1.520641136169433594e+01 2.516540137960967139e-03 1.639737319946289062e+01 1.009425830022443781e-03 9.890457939131614751e+00 1.009425830022443781e-03
1.706231880187988281e+01 5.482376866399000896e-03 1.437802886962890625e+01 1.098203578367454693e-03 1.556897258758544922e+01 5.048522011325594708e-04 9.528209536256330381e+00 5.048522011325594708e-04
1.966911125183105469e+01 3.843897356056544257e-02 1.658705902099609375e+01 6.524077189706131534e-03 1.787096595764160156e+01 1.457767066893456923e-03 1.137391298924962513e+01 1.457767066893456923e-03
2.028721237182617188e+01 8.084625371208407907e-02 1.744737815856933594e+01 1.302380370541608885e-02 1.874291038513183594e+01 2.841504236156108896e-03 1.189084353063749688e+01 2.841504236156108896e-03
1.535091114044189453e+01 1.714006415203782286e-03 1.357024574279785156e+01 6.672239440138089551e-04 1.448641872406005859e+01 2.249369470200397150e-04 7.713430305859349190e+00 2.249369470200397150e-04
1.882770347595214844e+01 2.530618904495930341e-02 1.609317970275878906e+01 5.903384405802078808e-03 1.729220581054687500e+01 1.238176673149390516e-03 1.054440024926632091e+01 1.238176673149390516e-03
1.761467742919921875e+01 9.437732388804818962e-03 1.490101242065429688e+01 3.685425937111574957e-03 1.610477828979492188e+01 1.526375320666197976e-03 9.929545017482709568e+00 1.526375320666197976e-03
1.841913986206054688e+01 1.469379535134983199e-02 1.565477371215820312e+01 2.615104247957919428e-03 1.686448287963867188e+01 8.764962154806981093e-04 1.056164160880162939e+01 8.764962154806981093e-04
1.882275009155273438e+01 2.589661819842405469e-02 1.593425464630126953e+01 3.131232884066717254e-03 1.717496299743652344e+01 1.215805348274858096e-03 1.064458492302476600e+01 1.215805348274858096e-03
1.760485649108886719e+01 8.161875205251124116e-03 1.511835193634033203e+01 2.512349949043347908e-03 1.626152992248535156e+01 9.277599835526297543e-04 9.418877918572366781e+00 9.277599835526297543e-04
1.535495662689208984e+01 1.985615971042595327e-03 1.343065834045410156e+01 8.193367397509927113e-04 1.439824771881103516e+01 3.408076126728085283e-04 8.082812044821261921e+00 3.408076126728085283e-04
9.484326362609863281e+00 5.807547476326151625e-04 8.987563133239746094e+00 4.064644576861896103e-04 9.306990623474121094e+00 1.815988242277297604e-04 2.793326165664369753e+00 1.815988242277297604e-04
