# BPmag  e_BPmag  RPmag  e_RPmag  Gmag  e_Gmag  GABS  e_GABS
1.707624626159667969e+01 7.134973439028388480e-03 1.461326122283935547e+01 2.018570797977521647e-03 1.575156021118164062e+01 8.472501493388083765e-04 9.423127739857154239e+00 8.472501493388083765e-04
1.331688594818115234e+01 7.300216321380884792e-04 1.204340362548828125e+01 6.028911966415237411e-04 1.274978923797607422e+01 3.161659385398964952e-04 6.416746879909986490e+00 3.161659385398964952e-04
1.739067459106445312e+01 9.166384219532376296e-03 1.468512248992919922e+01 2.113222691292311693e-03 1.588180065155029297e+01 7.779824913351045257e-04 9.558799094006122488e+00 7.779824913351045257e-04
1.982559776306152344e+01 4.848079490589244506e-02 1.670198822021484375e+01 6.320288820669952429e-03 1.797404861450195312e+01 1.254818878753078976e-03 1.166398863951465437e+01 1.254818878753078976e-03
1.358536911010742188e+01 1.063562603497540454e-03 1.223113441467285156e+01 7.123679088438910874e-04 1.297332954406738281e+01 2.983242397653757243e-04 6.625894166440673416e+00 2.983242397653757243e-04
1.729702186584472656e+01 8.858645197940856475e-03 1.466277503967285156e+01 2.071457818392609396e-03 1.584318351745605469e+01 6.538379151479223892e-04 9.507337667946700321e+00 6.538379151479223892e-04
1.430469226837158203e+01 1.023939171370168242e-03 1.271736049652099609e+01 4.999629613848884276e-04 1.355668163299560547e+01 2.188965645692022872e-04 7.252199257188665982e+00 2.188965645692022872e-04
1.907015991210937500e+01 2.821670940609435560e-02 1.615114402770996094e+01 4.920274511753641722e-03 1.738208007812500000e+01 1.242195614221118169e-03 1.098942683173302015e+01 1.242195614221118169e-03
1.873597145080566406e+01 1.929632840966163249e-02 1.564142322540283203e+01 3.727466233336947446e-03 1.693030548095703125e+01 1.059840913916826810e-03 1.067435608534120384e+01 1.059840913916826810e-03
1.786886215209960938e+01 1.286612167611139723e-02 1.506779956817626953e+01 2.156499410376464670e-03 1.628580093383789062e+01 6.288466208299075188e-04 9.946127529143344859e+00 6.288466208299075188e-04
1.952510452270507812e+01 2.925082076430477601e-02 1.646607017517089844e+01 5.885590322874683158e-03 1.774654579162597656e+01 1.093590906740830176e-03 1.141188156015718036e+01 1.093590906740830176e-03
1.664691543579101562e+01 4.531884310202918820e-03 1.435869979858398438e+01 1.786792801507077009e-03 1.544801902770996094e+01 6.154391565510594023e-04 9.072455534380530651e+00 6.154391565510594023e-04
1.295472908020019531e+01 1.336870725088944818e-03 1.178812313079833984e+01 9.896441295116358179e-04 1.244735145568847656e+01 3.272998553892827599e-04 6.152544058009970840e+00 3.272998553892827599e-04
1.768820762634277344e+01 1.523814448781896959e-02 1.487009620666503906e+01 3.645736110706911635e-03 1.609638214111328125e+01 1.236172214157705467e-03 9.740945056491575826e+00 1.236172214157705467e-03
1.404142475128173828e+01 1.606022031386143819e-03 1.254527473449707031e+01 1.309846559849198828e-03 1.334841060638427734e+01 3.497288078518962146e-04 7.001409062118543858e+00 3.497288078518962146e-04
1.849299812316894531e+01 2.803068921345231584e-02 1.552353763580322266e+01 4.095739711127831251e-03 1.678838539123535156e+01 1.540002740858574309e-03 1.045680447664429735e+01 1.540002740858574309e-03
2.042320632934570312e+01 7.093941412220862441e-02 1.710194587707519531e+01 6.708290937559158347e-03 1.842791938781738281e+01 1.603203471739930849e-03 1.200234361244614512e+01 1.603203471739930849e-03
1.843683052062988281e+01 1.269466942771715727e-02 1.545099925994873047e+01 2.758193389613276900e-03 1.671304512023925781e+01 8.830863445409855260e-04 1.045046270512703224e+01 8.830863445409855260e-04
1.757201957702636719e+01 8.431119466456481887e-03 1.498704814910888672e+01 2.585508917718565020e-03 1.615561676025390625e+01 7.665169446054571857e-04 9.768016684670390859e+00 7.665169446054571857e-04
2.022027587890625000e+01 7.068953512453332588e-02 1.714264869689941406e+01 1.019703479263334850e-02 1.844366645812988281e+01 1.760771982399767172e-03 1.212518692955293531e+01 1.760771982399767172e-03
1.744909858703613281e+01 1.154107522089086076e-02 1.491234874725341797e+01 3.184746699713469041e-03 1.606389808654785156e+01 7.447406171653412135e-04 9.766490943182237316e+00 7.447406171653412135e-04
1.891553306579589844e+01 2.487257873870730995e-02 1.606485176086425781e+01 3.965159045910659173e-03 1.729158020019531250e+01 8.059451149038620015e-04 1.086079450271842894e+01 8.059451149038620015e-04
1.409032726287841797e+01 9.011102895809419049e-04 1.259475231170654297e+01 6.789470924923767707e-04 1.339734077453613281e+01 2.607438649551378079e-04 7.039962629783412140e+00 2.607438649551378079e-04
1.755669212341308594e+01 9.051727121079839594e-03 1.499673271179199219e+01 2.495314004972458422e-03 1.615793418884277344e+01 9.084785558119854105e-04 9.781436435243032079e+00 9.084785558119854105e-04
1.490675926208496094e+01 1.693309426724963354e-03 1.311109542846679688e+01 6.134776279617353131e-04 1.403342628479003906e+01 2.625997927871358230e-04 7.713096596240339053e+00 2.625997927871358230e-04
1.592545700073242188e+01 3.072437117100716621e-03 1.385629272460937500e+01 1.423981381130559566e-03 1.487530994415283203e+01 4.349951357367143269e-04 8.457028592932982036e+00 4.349951357367143269e-04
1.521318817138671875e+01 2.807893389871829373e-03 1.315697383880615234e+01 7.780598030580267600e-04 1.417253303527832031e+01 4.459161659474859818e-04 7.738343606458174762e+00 4.459161659474859818e-04
1.780072402954101562e+01 1.182134681175680928e-02 1.507174110412597656e+01 3.462764020764401169e-03 1.626679992675781250e+01 1.199382114156611603e-03 9.889839706059872171e+00 1.199382114156611603e-03
1.821664810180664062e+01 1.851738627515478811e-02 1.550790119171142578e+01 2.567066628232551277e-03 1.670919990539550781e+01 8.142965508780731360e-04 1.034623213051420265e+01 8.142965508780731360e-04
1.357499504089355469e+01 1.500292628834456370e-03 1.222659492492675781e+01 1.065534962367350666e-03 1.296588802337646484e+01 4.199513795192645984e-04 6.675298757497250435e+00 4.199513795192645984e-04
1.303416728973388672e+01 2.006882331439504945e-03 1.182038974761962891e+01 1.402376587213898917e-03 1.250018882751464844e+01 5.470486584229512089e-04 6.247360832930091590e+00 5.470486584229512089e-04
1.762712860107421875e+01 9.915315654947846891e-03 1.490608882904052734e+01 1.805495375976636169e-03 1.610664939880371094e+01 5.662168731363915585e-04 9.794162735983963586e+00 5.662168731363915585e-04
1.952184867858886719e+01 4.856141927126875896e-02 1.654473304748535156e+01 5.268509137122475913e-03 1.781465530395507812e+01 1.082287631927038394e-03 1.145088072946951030e+01 1.082287631927038394e-03
1.426044845581054688e+01 1.625121256263066744e-03 1.271944046020507812e+01 9.250539891525593481e-04 1.354122257232666016e+01 2.748714127406667223e-04 7.185115269494946943e+00 2.748714127406667223e-04
1.998175048828125000e+01 5.512979112988670299e-02 1.680469131469726562e+01 5.861740362550267418e-03 1.807044792175292969e+01 1.214885668516280277e-03 1.179385031465618638e+01 1.214885668516280277e-03
1.889478302001953125e+01 3.150768114632871569e-02 1.598261356353759766e+01 3.870879079175965076e-03 1.722468948364257812e+01 1.078236437855747314e-03 1.083546783104399580e+01 1.078236437855747314e-03
1.943236160278320312e+01 5.625721170450301289e-02 1.634171676635742188e+01 1.130787570389106197e-02 1.762255477905273438e+01 1.406288225790793510e-03 1.132901877359781828e+01 1.406288225790793510e-03
1.997329139709472656e+01 5.899326964060603445e-02 1.690649604797363281e+01 7.466869669936394664e-03 1.819407081604003906e+01 1.420453067373679242e-03 1.178875197061152313e+01 1.420453067373679242e-03
1.343742561340332031e+01 1.069636628393784167e-03 1.214167881011962891e+01 7.317453326295365532e-04 1.285682106018066406e+01 2.975913427993248867e-04 6.507900795834137497e+00 2.975913427993248867e-04
2.084881401062011719e+01 1.443100887613829042e-01 1.736423683166503906e+01 1.140219604310220569e-02 1.866827392578125000e+01 2.288075489356108244e-03 1.236931084578225537e+01 2.288075489356108244e-03
2.028407859802246094e+01 9.226624166267122229e-02 1.693752098083496094e+01 9.111061924120811284e-03 1.826427268981933594e+01 2.135737422676191322e-03 1.187074913959745182e+01 2.135737422676191322e-03
1.747373771667480469e+01 9.972620569384253036e-03 1.486365985870361328e+01 3.256617931169829457e-03 1.603906822204589844e+01 9.244525893850294744e-04 9.644628928140377866e+00 9.244525893850294744e-04
1.910309028625488281e+01 5.033210934908195072e-02 1.607511711120605469e+01 4.755910571173342476e-03 1.734709548950195312e+01 1.322189317068159795e-03 1.104665263201929548e+01 1.322189317068159795e-03
1.541695785522460938e+01 3.054044926593960530e-03 1.348700904846191406e+01 1.147154273562615324e-03 1.445805358886718750e+01 3.842746930168527129e-04 8.053895665389610770e+00 3.842746930168527129e-04
1.821237945556640625e+01 1.360741480456101847e-02 1.539016914367675781e+01 4.849783379695511883e-03 1.661277389526367188e+01 1.405936559482440186e-03 1.032729694134736320e+01 1.405936559482440186e-03
1.388022041320800781e+01 2.084024980514359669e-03 1.246686172485351562e+01 1.339836611428523111e-03 1.323599529266357422e+01 4.354990661702954247e-04 6.825327981002484279e+00 4.354990661702954247e-04
1.741653823852539062e+01 1.228786595832110327e-02 1.478637027740478516e+01 2.515093256494417649e-03 1.596902084350585938e+01 8.817818723586839805e-04 9.676516086536473438e+00 8.817818723586839805e-04
1.969519424438476562e+01 6.286791774209329886e-02 1.654962539672851562e+01 6.304651788214195827e-03 1.782122230529785156e+01 1.294288564766362792e-03 1.152506437670429307e+01 1.294288564766362792e-03
1.902432823181152344e+01 2.943217787602053770e-02 1.600364494323730469e+01 4.719862512182714659e-03 1.725308418273925781e+01 1.452718696718718287e-03 1.084457907577476909e+01 1.452718696718718287e-03
1.629561614990234375e+01 3.557825055848633580e-03 1.411248493194580078e+01 1.217253030838740153e-03 1.517022132873535156e+01 5.485864962976011016e-04 8.857637690842114608e+00 5.485864962976011016e-04
1.957934761047363281e+01 5.128154233683254737e-02 1.624878883361816406e+01 4.089755132177354605e-03 1.756056594848632812e+01 1.018509892656829221e-03 1.119081701640342175e+01 1.018509892656829221e-03
1.133987617492675781e+01 8.803371940541487514e-04 1.051271343231201172e+01 6.028282287167873940e-04 1.101284122467041016e+01 4.259976979678665619e-04 4.711050155750417190e+00 4.259976979678665619e-04
1.843992614746093750e+01 2.669471756585487313e-02 1.556109809875488281e+01 3.470760307352396389e-03 1.679002571105957031e+01 1.081650668596544854e-03 1.043331792595356866e+01 1.081650668596544854e-03
1.719458198547363281e+01 9.578632275246769939e-03 1.458348941802978516e+01 2.085138174909649533e-03 1.576166343688964844e+01 8.865263236373805691e-04 9.372696665094515822e+00 8.865263236373805691e-04
2.047538566589355469e+01 1.051476096079466127e-01 1.719501304626464844e+01 1.449392681219517642e-02 1.851475715637207031e+01 2.078341529468875903e-03 1.223621930446765660e+01 2.078341529468875903e-03
1.712291717529296875e+01 8.255245495178014509e-03 1.465924167633056641e+01 1.751070467616529886e-03 1.581653785705566406e+01 7.974373791096877771e-04 9.466081579455591921e+00 7.974373791096877771e-04
2.050739479064941406e+01 8.286006641434862097e-02 1.722949028015136719e+01 1.086917621241703137e-02 1.856044960021972656e+01 1.724451351776841272e-03 1.214785056134419783e+01 1.724451351776841272e-03
1.897865867614746094e+01 2.430852055243550025e-02 1.591876697540283203e+01 3.689647395371835857e-03 1.719769287109375000e+01 1.140694327764703872e-03 1.084912783294954508e+01 1.140694327764703872e-03
8.494132041931152344e+00 1.004325174191103521e-03 8.136960983276367188e+00 8.535267527014870357e-04 8.373194694519042969e+00 3.508955057242745717e-04 2.045421659230640898e+00 3.508955057242745717e-04
1.201923370361328125e+01 2.102619469055836722e-03 1.107632541656494141e+01 1.416090803598601131e-03 1.162995815277099609e+01 5.537718768318312034e-04 5.251172923154051375e+00 5.537718768318312034e-04
6.753031253814697266e+00 8.611428619561315410e-04 5.903956890106201172e+00 1.013181049065518943e-03 6.415674686431884766e+00 2.092262330479692067e-04 5.900255390386988097e-02 2.092262330479692067e-04
1.718503570556640625e+01 1.103245709547443984e-02 1.470034980773925781e+01 5.102842152088885551e-03 1.584238910675048828e+01 1.439651597913873485e-03 9.432003892137400314e+00 1.439651597913873485e-03
1.976631546020507812e+01 5.065208168820679868e-02 1.655987167358398438e+01 6.162413270305375571e-03 1.784280204772949219e+01 1.437037406606275075e-03 1.149369996504691471e+01 1.437037406606275075e-03
